corpus,arch,seed,cell,input,loss,weight_decay,macro_map
amass_clean,medium,seed1,in_p__loss_p,p,p,3e-6,0.3471579849720001
amass_clean,medium,seed2,in_p__loss_p,p,p,0.00001,0.3445216715335846
amass_clean,medium,seed42,in_p__loss_p,p,p,0.00001,0.3471662700176239
amass_clean,medium,seed1,in_p__loss_pk,p,pk,3e-6,0.3600214123725891
amass_clean,medium,seed2,in_p__loss_pk,p,pk,0.00001,0.36677029728889465
amass_clean,medium,seed42,in_p__loss_pk,p,pk,0.00001,0.36119741201400757
amass_clean,medium,seed1,in_p__loss_pkd,p,pkd,0.00003,0.36096814274787903
amass_clean,medium,seed2,in_p__loss_pkd,p,pkd,0.00001,0.36103445291519165
amass_clean,medium,seed42,in_p__loss_pkd,p,pkd,0.00003,0.3615890443325043
amass_clean,medium,seed1,in_pk__loss_p,pk,p,0.00001,0.35274019837379456
amass_clean,medium,seed2,in_pk__loss_p,pk,p,0.00001,0.3550814390182495
amass_clean,medium,seed42,in_pk__loss_p,pk,p,0.00001,0.34451574087142944
amass_clean,medium,seed1,in_pk__loss_pk,pk,pk,3e-6,0.3647462725639343
amass_clean,medium,seed2,in_pk__loss_pk,pk,pk,0.00001,0.36535659432411194
amass_clean,medium,seed42,in_pk__loss_pk,pk,pk,0.00001,0.36329367756843567
amass_clean,medium,seed1,in_pk__loss_pkd,pk,pkd,0.00001,0.3663146197795868
amass_clean,medium,seed2,in_pk__loss_pkd,pk,pkd,0.00003,0.36670437455177307
amass_clean,medium,seed42,in_pk__loss_pkd,pk,pkd,0.00003,0.36440369486808777
amass_clean,medium,seed1,in_pkd__loss_p,pkd,p,0.00003,0.3479141294956207
amass_clean,medium,seed2,in_pkd__loss_p,pkd,p,0.00001,0.3527725636959076
amass_clean,medium,seed42,in_pkd__loss_p,pkd,p,0.00001,0.34518763422966003
amass_clean,medium,seed1,in_pkd__loss_pk,pkd,pk,0.00001,0.355125367641449
amass_clean,medium,seed2,in_pkd__loss_pk,pkd,pk,0.00001,0.3595871925354004
amass_clean,medium,seed42,in_pkd__loss_pk,pkd,pk,3e-6,0.35853126645088196
amass_clean,medium,seed1,in_pkd__loss_pkd,pkd,pkd,3e-6,0.3603500723838806
amass_clean,medium,seed2,in_pkd__loss_pkd,pkd,pkd,3e-6,0.3635368347167969
amass_clean,medium,seed42,in_pkd__loss_pkd,pkd,pkd,0.00001,0.3571505844593048
amass_clean,medium_thindec,seed1,in_p__loss_p,p,p,3e-6,0.348235547542572
amass_clean,medium_thindec,seed2,in_p__loss_p,p,p,0.00001,0.34732991456985474
amass_clean,medium_thindec,seed42,in_p__loss_p,p,p,0.00001,0.3323685824871063
amass_clean,medium_thindec,seed1,in_p__loss_pk,p,pk,3e-6,0.349401593208313
amass_clean,medium_thindec,seed2,in_p__loss_pk,p,pk,3e-6,0.35623279213905334
amass_clean,medium_thindec,seed42,in_p__loss_pk,p,pk,0.00001,0.36429011821746826
amass_clean,medium_thindec,seed1,in_p__loss_pkd,p,pkd,0.00003,0.36236605048179626
amass_clean,medium_thindec,seed2,in_p__loss_pkd,p,pkd,0.00003,0.36488038301467896
amass_clean,medium_thindec,seed42,in_p__loss_pkd,p,pkd,0.00003,0.3597208559513092
amass_clean,medium_thindec,seed1,in_pk__loss_p,pk,p,0.00001,0.35125502943992615
amass_clean,medium_thindec,seed2,in_pk__loss_p,pk,p,0.00001,0.35310301184654236
amass_clean,medium_thindec,seed42,in_pk__loss_p,pk,p,0.00001,0.3450547456741333
amass_clean,medium_thindec,seed1,in_pk__loss_pk,pk,pk,3e-6,0.3535483479499817
amass_clean,medium_thindec,seed2,in_pk__loss_pk,pk,pk,3e-6,0.35260480642318726
amass_clean,medium_thindec,seed42,in_pk__loss_pk,pk,pk,3e-6,0.3538798391819
amass_clean,medium_thindec,seed1,in_pk__loss_pkd,pk,pkd,0.00003,0.3573298752307892
amass_clean,medium_thindec,seed2,in_pk__loss_pkd,pk,pkd,0.00003,0.3590259253978729
amass_clean,medium_thindec,seed42,in_pk__loss_pkd,pk,pkd,0.00003,0.36474737524986267
amass_clean,medium_thindec,seed1,in_pkd__loss_p,pkd,p,3e-6,0.34957215189933777
amass_clean,medium_thindec,seed2,in_pkd__loss_p,pkd,p,3e-6,0.3398033082485199
amass_clean,medium_thindec,seed42,in_pkd__loss_p,pkd,p,0.00001,0.3456656038761139
amass_clean,medium_thindec,seed1,in_pkd__loss_pk,pkd,pk,3e-6,0.35109347105026245
amass_clean,medium_thindec,seed2,in_pkd__loss_pk,pkd,pk,3e-6,0.3513980805873871
amass_clean,medium_thindec,seed42,in_pkd__loss_pk,pkd,pk,3e-6,0.3472404479980469
amass_clean,medium_thindec,seed1,in_pkd__loss_pkd,pkd,pkd,3e-6,0.34975147247314453
amass_clean,medium_thindec,seed2,in_pkd__loss_pkd,pkd,pkd,3e-6,0.3522513508796692
amass_clean,medium_thindec,seed42,in_pkd__loss_pkd,pkd,pkd,3e-6,0.35850635170936584
amass_clean,medium_tinydec,seed42,in_pk__loss_pk,pk,pk,3e-6,0.3409673869609833
amass_clean,medium_tinydec,seed42,in_pk__loss_pkd,pk,pkd,0.00001,0.3568873405456543
