=== kNN, no head trained, experiment_linear_probe.yaml ===
  source              macro_map    micro_map    top_1_rec    top_3_rec
  moments k=1            0.1546       0.2013       0.1952       0.3551
  moments k=5            0.2940       0.4335       0.2570       0.4715
  moments k=10           0.3166       0.4714       0.2646       0.4897
  moments k=20           0.3283       0.4890       0.2707       0.4976
  moments k=50           0.3349       0.4990       0.2669       0.5036
  random-init k=1        0.0675       0.1051       0.1436       0.2364
  random-init k=5        0.1204       0.2610       0.1883       0.3285
  random-init k=10       0.1324       0.2946       0.1962       0.3498
  random-init k=20       0.1412       0.3143       0.1994       0.3609
  random-init k=50       0.1434       0.3218       0.1984       0.3663
  jepa_200ep k=1         0.1626       0.2075       0.2010       0.3670
  jepa_200ep k=5         0.3018       0.4500       0.2630       0.4801
  jepa_200ep k=10        0.3268       0.4921       0.2707       0.4969
  jepa_200ep k=20        0.3402       0.5151       0.2748       0.5079
  jepa_200ep k=50        0.3487       0.5281       0.2767       0.5115
