=== kNN, no head trained, experiment_linear_probe.yaml ===
  source              macro_map    micro_map    top_1_rec    top_3_rec
  moments k=1            0.1475       0.1946       0.1993       0.3534
  moments k=5            0.2861       0.4296       0.2594       0.4670
  moments k=10           0.3075       0.4676       0.2671       0.4861
  moments k=20           0.3220       0.4889       0.2699       0.4978
  moments k=50           0.3298       0.4999       0.2685       0.4999
  random-init k=1        0.0635       0.0991       0.1404       0.2269
  random-init k=5        0.1139       0.2515       0.1884       0.3231
  random-init k=10       0.1293       0.2910       0.1984       0.3471
  random-init k=20       0.1359       0.3105       0.1996       0.3571
  random-init k=50       0.1408       0.3199       0.1975       0.3594
  mae_100ep k=1          0.1556       0.2016       0.2000       0.3589
  mae_100ep k=5          0.3004       0.4529       0.2650       0.4847
  mae_100ep k=10         0.3296       0.4981       0.2750       0.5033
  mae_100ep k=20         0.3463       0.5231       0.2802       0.5139
  mae_100ep k=50         0.3536       0.5348       0.2801       0.5174
