label,positives,medium_100ep,medium_100ep_jepa,medium_100ep_simmim
stand,1967,0.93624383,0.906759,0.8954804
catch,978,0.534101,0.49316633,0.44828898
poses,618,0.43675497,0.33971518,0.34990776
circular movement,593,0.46873057,0.448483,0.36173117
turn,572,0.433778,0.30932885,0.3517517
touching face,415,0.333553,0.2713309,0.1968063
backwards movement,404,0.77822495,0.64501125,0.46413267
lift something,359,0.4372134,0.17590241,0.17666881
touching body part,315,0.4184005,0.3681559,0.24130417
action with ball,307,0.8573513,0.84709704,0.6189847
throw,273,0.59323716,0.3562736,0.4085191
squat,269,0.4527127,0.22651547,0.2552389
place something,263,0.18108165,0.15325132,0.1295123
waist movements,223,0.2126879,0.14077136,0.12737776
greet,222,0.20300278,0.17140004,0.17159435
hand movements,218,0.57533884,0.3787651,0.40388444
t pose,209,0.15397978,0.1358355,0.086273976
exercise/training,204,0.24692823,0.119648606,0.12885997
jump,202,0.39583468,0.3434921,0.23936182
dance,184,0.4081528,0.40542814,0.30227876
interact with/use object,175,0.83349395,0.57060176,0.5681931
stumble,167,0.7819466,0.7025193,0.3203245
lowering body part,162,0.37809575,0.27253568,0.20607734
perform,153,0.19616827,0.19799373,0.1869087
lean,149,0.30967665,0.2514377,0.21680173
step,141,0.18861175,0.14897068,0.14074904
hop,139,0.68196756,0.5951268,0.46064776
run,139,0.10117699,0.07725615,0.07577274
jog,133,0.3099241,0.22829334,0.19730692
walk,129,0.5195964,0.38698816,0.42507955
stand up,124,0.6903254,0.538931,0.18833873
sports move,119,0.23335704,0.18550801,0.091059595
scratch,112,0.73116755,0.6050589,0.46588272
move something,111,0.11970004,0.0798,0.0721958
stretch,111,0.4434779,0.2961951,0.18842927
punch,101,0.2174555,0.19042888,0.16716284
bend,100,0.4956064,0.27052248,0.18067591
sideways movement,99,0.34136078,0.29201102,0.2410011
grasp object,96,0.19592279,0.06665483,0.061593104
kick,95,0.33907115,0.31045637,0.2023524
look,94,0.53287166,0.3388989,0.11381928
swing body part,84,0.11609418,0.11351703,0.059968494
head movements,81,0.059329867,0.10345407,0.03098955
play sport,81,0.0984457,0.06733005,0.058104053
sit,75,0.27865598,0.25482306,0.1370576
foot movements,70,0.118944,0.076516055,0.074366435
a pose,66,0.25633624,0.21311663,0.18899871
leg movements,65,0.10480053,0.04034113,0.06773727
touch object,60,0.10122875,0.0934256,0.071371175
knee movement,57,0.573511,0.47512433,0.30061284
wave,52,0.021544766,0.038458478,0.01948167
crossing limbs,49,0.08458029,0.06173256,0.068576545
take/pick something up,48,0.40180725,0.3632173,0.085789084
raising body part,43,0.14746189,0.20606223,0.05713574
move up/down incline,39,0.40449494,0.09511455,0.081056654
clean something,38,0.24105766,0.10387126,0.062878616
gesture,32,0.27113688,0.09110713,0.045179084
forward movement,30,0.3641973,0.09498519,0.111842
martial art,24,0.10000846,0.18549217,0.021344226
arm movements,24,0.41241044,0.31440672,0.087494016
